Crane_Vel,Struct,0
sG_Vel_Backward,Real,0
sG_Vel_Forward,Real,4
sT_Vel,Real,8
sH_Vel,Real,12
Micromotion_Vel,Struct,16
MM_1_Vel,Real,16
MM_2_Vel,Real,20
MM_3_Vel,Real,24
MM_4_Vel,Real,28
Spreader_Width_Cmd,Struct,32
20FT,Bool,32
40FT,Bool,32.1
45FT,Bool,32.2
Twist_Lock_Cmd,Struct,34
TL_Lock,Bool,34
TL_Unlock,Bool,34.1
Camera,Struct,36
Cam1,Int,36
Cam2,Int,38
Cam3,Int,40
Cam4,Int,42
